log2FoldChange,lfcSE,pvalue,padj,SGB,Domain,Phylum,Class,Order,Family,Genus
26.79273884,0.763604927,1.06e-269,9.38e-269,Snoopy_p2__maxbin2_low_prob_037_contigs,Bacteria,Firmicutes_A,Clostridia,Lachnospirales,Lachnospiraceae,Faecalicatena
27.33550281,1.182008114,2.52e-118,4.34e-118,Snoopy_p2__metabat2_low_PE_038_contigs,Bacteria,Firmicutes_A,Clostridia,Lachnospirales,Lachnospiraceae,Tyzzerella
30.0,0.787142264,0.0,0.0,Stewie_p2__metabat2_high_PE_008_contigs,Bacteria,Firmicutes_A,Clostridia,Lachnospirales,Lachnospiraceae,Blautia_A
10.62098524,0.910148833,1.82e-31,2.03e-31,Stewie_p2__metabat2_low_PE_024_contigs,Bacteria,Firmicutes,Bacilli,Erysipelotrichales,Erysipelotrichaceae,Holdemanella
30.0,1.28380487,9.04e-121,1.61e-120,Susan_p2__metabat2_low_PE_031_contigs,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Tannerellaceae,Parabacteroides
27.5665545,1.278302719,3.83e-103,5.84e-103,Tephra_p2__metabat2_low_PE_021_contigs,Bacteria,Actinobacteriota,Actinobacteria,Actinomycetales,Bifidobacteriaceae,Bifidobacterium
26.22392697,1.046765312,1.65e-138,3.76e-138,Tibetan_p1__metabat2_high_PE_033_contigs,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,UBA932,RC9
25.63780041,1.440554944,7.43e-71,9.41e-71,Trix_p1__metabat2_low_PE_013_contigs,Bacteria,Actinobacteriota,Coriobacteriia,Coriobacteriales,Atopobiaceae,
27.0939004,1.174801148,1.1e-117,1.88e-117,Trix_p1__metabat2_low_PE_026_contigs,Bacteria,Firmicutes_A,Clostridia,Peptostreptococcales,Peptostreptococcaceae,Peptostreptococcus
28.39014783,0.902309685,2.71e-217,1.54e-216,Trix_p2__metabat2_low_PE_030_contigs,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Muribaculaceae,UBA7173
28.07219375,1.186208104,8.18e-124,1.52e-123,UncleJesse_p2__metabat2_low_PE_019_contigs,Bacteria,Firmicutes_A,Clostridia,Lachnospirales,Lachnospiraceae,Blautia
30.0,1.063398262,4.23e-175,1.47e-174,Virginia_p1__maxbin2_low_prob_017_contigs,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides_A
30.0,1.191553507,7.12e-140,1.64e-139,Virginia_p1__metabat2_high_PE_027_contigs,Bacteria,Firmicutes_A,Clostridia,Peptostreptococcales,Peptostreptococcaceae,Clostridium_U
27.49362906,0.805806356,3.8e-255,2.94e-254,Virginia_p1__metabat2_low_PE_013_contigs,Bacteria,Firmicutes_A,Clostridia,Clostridiales,Clostridiaceae,Clostridium
27.45006356,1.275005725,8.27e-103,1.26e-102,X1_Eurasian_Beaver__metabat2_high_PE_005_contigs,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Muribaculaceae,CAG-873
1.023055918,1.329346737,0.44154137,0.442915461,X103_Eurasian_Blackcap__maxbin2_high_prob_002_contigs,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Klebsiella_B
27.42994074,1.483285632,2.36e-76,3.1e-76,X108_Striped_Desert_Hamster__metabat2_low_PE_001_contigs,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Muribaculaceae,CAG-485
27.23966132,0.805489906,1.09e-250,7.99e-250,X120_Alpine_Shrew__metabat2_high_PE_003_contigs,Bacteria,Firmicutes_A,Clostridia,TANB77,CAG-508,
-9.677538466,0.852492793,7.24e-30,8.03e-30,X125_Common_Carp__maxbin2_low_prob_001_contigs,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Aeromonadaceae,Aeromonas
26.93258966,1.041072618,1.45e-147,3.67e-147,X127_Alpine_Marmot__maxbin2_low_prob_009_contigs,Bacteria,Firmicutes_A,Clostridia,Oscillospirales,Ruminococcaceae,CAG-115
27.44265345,1.513983819,1.98e-73,2.55e-73,X127_Alpine_Marmot__metabat2_high_PE_013_contigs,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes
27.82126455,1.201110071,1.08e-118,1.87e-118,X129_Alpine_Ibex__metabat2_low_PE_007_contigs,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,UBA4372
