Phenotype,Has phenotype?,Domain,Phylum,Biome,No. of MAGs
Anaerobe,False,d__Bacteria,p__Proteobacteria,Host,17
Anaerobe,False,d__Bacteria,p__Proteobacteria,Neither,35
Anaerobe,True,d__Bacteria,p__Proteobacteria,Host,7
Anaerobe,True,d__Bacteria,p__Proteobacteria,Neither,5
Anaerobe,True,d__Bacteria,p__Spirochaetota,Host,31
Anaerobe,True,d__Bacteria,p__Spirochaetota,Neither,8
Anaerobe,True,d__Bacteria,p__Synergistota,Neither,4
Anaerobe,False,d__Bacteria,p__Verrucomicrobiota,Host,2
Anaerobe,False,d__Bacteria,p__Verrucomicrobiota,Neither,4
Anaerobe,True,d__Bacteria,p__Verrucomicrobiota,Host,11
Anaerobe,True,d__Bacteria,p__Verrucomicrobiota,Neither,10
Anaerobe,False,d__Bacteria,p__Verrucomicrobiota_A,Host,1
Anaerobe,False,d__Bacteria,p__Verrucomicrobiota_A,Neither,1
Arginine dihydrolase,False,d__Archaea,p__Euryarchaeota,Host,4
Arginine dihydrolase,True,d__Archaea,p__Euryarchaeota,Host,1
Arginine dihydrolase,False,d__Archaea,p__Halobacterota,Host,1
Arginine dihydrolase,False,d__Archaea,p__Halobacterota,Neither,3
Arginine dihydrolase,False,d__Archaea,p__Thermoplasmatota,Host,1
Arginine dihydrolase,False,d__Archaea,p__Thermoplasmatota,Neither,3
Arginine dihydrolase,False,d__Bacteria,p__Actinobacteriota,Environment,5
Arginine dihydrolase,False,d__Bacteria,p__Actinobacteriota,Host,18
Arginine dihydrolase,False,d__Bacteria,p__Actinobacteriota,Neither,34
Arginine dihydrolase,True,d__Bacteria,p__Actinobacteriota,Environment,2
Arginine dihydrolase,True,d__Bacteria,p__Actinobacteriota,Host,21
Arginine dihydrolase,True,d__Bacteria,p__Actinobacteriota,Neither,16
Arginine dihydrolase,False,d__Bacteria,p__Armatimonadota,Neither,1
Arginine dihydrolase,False,d__Bacteria,p__Bacteroidota,Host,188
Arginine dihydrolase,False,d__Bacteria,p__Bacteroidota,Neither,76
Arginine dihydrolase,True,d__Bacteria,p__Bacteroidota,Host,29
