Sample,class,order,family,genus,species,host_common_name,diet,captive_wild,country,sample_type
X152_Tree_Shrew,Mammalia,Scandentia,Tupaiidae,Tupaia,Tupaia_belangeri,Tree_Shrew,omnivore,captive,Austria,feces
X13_Wolf,Mammalia,Carnivora,Canidae,Canis,Canis_lupus,Wolf,carnivore,wild,Austria,feces
X411_Leopard,Mammalia,Carnivora,Felidae,Panthera,Panthera_pardus,Leopard,carnivore,wild,South Africa,feces
X398_Eurasian_Reed_Warbler,Aves,Passeriformes,Sylviidae,Acrocephalus,Acrocephalus_scirpaceus,Eurasian_Reed_Warbler,omnivore,captive,Austria,feces
X425_Emu,Aves,Struthioniformes,Dromaiidae,Dromaius,Dromaius_novaehollandiae,Emu,omnivore,captive,Austria,feces
X263_White_Stork,Aves,Ciconiiformes,Ciconiidae,Ciconia,Ciconia_ciconia,White_Stork,carnivore,wild,Hungary,feces
X333_Gray_Seal,Mammalia,Carnivora,Phocidae,Halichoerus,Halichoerus_grypus,Gray_Seal,carnivore,wild,England,feces
X413_Lion,Mammalia,Carnivora,Felidae,Panthera,Panthera_leo,Lion,carnivore,wild,South Africa,feces
X197_Human,Mammalia,Primates,Hominidae,Homo,Homo_sapiens,Human,omnivore,human,Austria,feces
X44_Meadow_Viper,Reptilia,Squamata,Viperidae,Vipera,Vipera_ursinii,Meadow_Viper,carnivore,wild,Hungary,feces
XF302_Northern_Pike,Actinopterygii,Esociformes,Esocidae,Esox,Esox_lucius,Northern_Pike,carnivore,wild,Austria,feces
X109_Red_Fox,Mammalia,Carnivora,Canidae,Vulpes,Vulpes_vulpes,Red_Fox,omnivore,wild,Austria,feces
X264_Eurasian_Magpie,Aves,Passeriformes,Corvidae,Pica,Pica_pica,Eurasian_Magpie,omnivore,wild,Hungary,feces
X85_Domestic_Dog,Mammalia,Carnivora,Canidae,Canis,Canis_lupus,Domestic_Dog,carnivore,captive,Austria,feces
XF241_Great_Cormorant,Aves,Pelecaniformes,Phalacrocoracidae,Phalacrocorax,Phalacrocorax_carbo,Great_Cormorant,carnivore,wild,Austria,feces
X363_Desmarests_Spiny_Pocket_Mouse,Mammalia,Rodentia,Heteromyidae,Heteromys,Heteromys_desmarestianus,Desmarests_Spiny_Pocket_Mouse,omnivore,wild,Costa Rica,gut
X87_Garden_Dormouse,Mammalia,Rodentia,Gliridae,Eliomys,Eliomys_quercinus,Garden_Dormouse,omnivore,wild,Austria,feces
X301_European_Hare,Mammalia,Lagomorpha,Leporidae,Lepus,Lepus_europaeus,European_Hare,herbivore,wild,Austria,feces
X46_European_Nightjar,Aves,Caprimulgiformes,Caprimulgidae,Caprimulgus,Caprimulgus_europaeus,European_Nightjar,carnivore,wild,Austria,feces
X191_Common_House_Gecko,Reptilia,Squamata,Gekkonidae,Hemidactylus,Hemidactylus_frenatus,Common_House_Gecko,carnivore,wild,Viet Nam,feces
X95_Meadow_Viper,Reptilia,Squamata,Viperidae,Vipera,Vipera_ursinii,Meadow_Viper,carnivore,wild,Hungary,feces
X103_Eurasian_Blackcap,Aves,Passeriformes,Sylviidae,Sylvia,Sylvia_atricapilla,Eurasian_Blackcap,omnivore,wild,Austria,feces
XF141_Wood_Sandpiper,Aves,Charadriiformes,Scolopacidae,Tringa,Tringa_glareola,Wood_Sandpiper,carnivore,wild,Austria,feces
X297_Horsfields_Bronze_Cuckoo,Aves,Cuculiformes,Cuculidae,Chrysococcyx,Chrysococcyx_basalis,Horsfields_Bronze_Cuckoo,carnivore,wild,Australia,feces
X172_European_Greenfinch,Aves,Passeriformes,Fringillidae,Carduelis,Carduelis_chloris,European_Greenfinch,omnivore,wild,Hungary,feces
X347_Brown_Bear,Mammalia,Carnivora,Ursidae,Ursus,Ursus_arctos,Brown_Bear,omnivore,captive,Austria,feces
X157_Grey_Heron,Aves,Ciconiiformes,Ardeidae,Ardea,Ardea_cinerea,Grey_Heron,carnivore,wild,Austria,gut
X18_West_European_Hedgehog,Mammalia,Insectivora,Erinaceidae,Erinaceus,Erinaceus_europaeus,West_European_Hedgehog,carnivore,wild,Austria,feces
X299_fail_Chestnut_rumped_Thornbill,Aves,Passeriformes,Pardalotidae,Acanthiza,Acanthiza_uropygialis,Chestnut_rumped_Thornbill,carnivore,wild,Australia,feces
X243_Noctule,Mammalia,Chiroptera,Vespertilionidae,Nyctalus,Nyctalus_noctula,Noctule,carnivore,wild,Austria,feces
X355_Hoffmanns_Two_toed_Sloth,Mammalia,Pilosa,Megalonychidae,Choloepus,Choloepus_hoffmanni,Hoffmanns_Two_toed_Sloth,herbivore,wild,,feces
X276_Barnacle_Goose,Aves,Anseriformes,Anatidae,Branta,Branta_leucopsis,Barnacle_Goose,herbivore,wild,Germany,feces
X199_Human,Mammalia,Primates,Hominidae,Homo,Homo_sapiens,Human,omnivore,human,Austria,feces
X256_Zander,Actinopterygii,Perciformes,Percidae,Sander,Sander_lucioperca,Zander,carnivore,wild,Austria,feces
X84_Common_Chiffchaff,Aves,Passeriformes,Sylviidae,Phylloscopus,Phylloscopus_collybita,Common_Chiffchaff,omnivore,wild,Austria,feces
